Sample,Age,City,Date,Event,Sample,Sport,State
CPR_CP.LV043,Adult,Philadelphia,2/18/2014,76ers,LV043,Basketball,PA
CPR_CP.MC007,Adult,Philadelphia,2/18/2014,76ers,MC007,Basketball,PA
CPR_CP.MC014,Adult,Philadelphia,2/18/2014,76ers,MC014,Basketball,PA
CPR_CP.MC016,Adult,Philadelphia,2/18/2014,76ers,MC016,Basketball,PA
CPR_CP.MC019,Adult,Philadelphia,2/18/2014,76ers,MC019,Basketball,PA
CPR_CP.MC024,Adult,Philadelphia,2/18/2014,76ers,MC024,Basketball,PA
CPR_CP.MC025,Adult,Philadelphia,2/18/2014,76ers,MC025,Basketball,PA
CPR_CP.MC026,Adult,Philadelphia,2/18/2014,76ers,MC026,Basketball,PA
CPR_CP.MC028,Adult,Philadelphia,2/18/2014,76ers,MC028,Basketball,PA
CPR_CP.MC029,Adult,Philadelphia,2/18/2014,76ers,MC029,Basketball,PA
CPR_CP.MC030,Adult,Philadelphia,2/18/2014,76ers,MC030,Basketball,PA
CPR_CP.MC032,Adult,Philadelphia,2/18/2014,76ers,MC032,Basketball,PA
CPR_CP.MC033,Adult,Philadelphia,2/18/2014,76ers,MC033,Basketball,PA
CPR_CP.MC034,Adult,Philadelphia,2/18/2014,76ers,MC034,Basketball,PA
CPR_CP.MC035,Adult,Philadelphia,2/18/2014,76ers,MC035,Basketball,PA
CPR_CP.MC036,Adult,Philadelphia,2/18/2014,76ers,MC036,Basketball,PA
CPR_CP.MC039,Adult,Philadelphia,2/18/2014,76ers,MC039,Basketball,PA
CPR_CP.MC043,Adult,Philadelphia,2/18/2014,76ers,MC043,Basketball,PA
CPR_CP.MC047,Adult,Philadelphia,2/18/2014,76ers,MC047,Basketball,PA
CPR_CP.MC062,Adult,Philadelphia,2/18/2014,76ers,MC062,Basketball,PA
CPR_CP.MC093,Adult,Philadelphia,2/18/2014,76ers,MC093,Basketball,PA
CPR_CP.MC095,Adult,Philadelphia,2/18/2014,76ers,MC095,Basketball,PA
CPR_CP.MC096,Adult,Philadelphia,2/18/2014,76ers,MC096,Basketball,PA
CPR_CP.MC097,Adult,Philadelphia,2/18/2014,76ers,MC097,Basketball,PA
CPR_CP.MC098,Adult,Philadelphia,2/18/2014,76ers,MC098,Basketball,PA
CPR_CP.MC099,Adult,Philadelphia,2/18/2014,76ers,MC099,Basketball,PA
CPR_CP.MC100,Adult,Philadelphia,2/18/2014,76ers,MC100,Basketball,PA
CPR_CP.ME003,Adult,Philadelphia,2/18/2014,76ers,ME003,Basketball,PA
CPR_CP.ME004,Adult,Philadelphia,2/18/2014,76ers,ME004,Basketball,PA
CPR_CP.ME005,Adult,Philadelphia,2/18/2014,76ers,ME005,Basketball,PA
CPR_CP.ME006,Adult,Philadelphia,2/18/2014,76ers,ME006,Basketball,PA
CPR_CP.ME007,Adult,Philadelphia,2/18/2014,76ers,ME007,Basketball,PA
CPR_CP.ME008,Adult,Philadelphia,2/18/2014,76ers,ME008,Basketball,PA
CPR_CP.ME009,Adult,Philadelphia,2/18/2014,76ers,ME009,Basketball,PA
CPR_SH.LV043,Adult,Philadelphia,2/18/2014,76ers,LV043,Basketball,PA
CPR_SH.MC007,Adult,Philadelphia,2/18/2014,76ers,MC007,Basketball,PA
CPR_SH.MC009,Adult,Philadelphia,2/18/2014,76ers,MC009,Basketball,PA
CPR_SH.MC013,Adult,Philadelphia,2/18/2014,76ers,MC013,Basketball,PA
