	Age	City	Date	Event	Gender	Hand	Module	Run	Sample	Sport	State	Study	Surface	Time	Touches	Type	Wash
CPR_SH.MC047	Adult	Philadelphia	2/18/2014	76ers				3.0	MC047	Basketball	PA	cpr				shoe	
CPR_CP.ME007	Adult	Philadelphia	2/18/2014	76ers				3.0	ME007	Basketball	PA	cpr				phone	
CPR_CP.MC019	Adult	Philadelphia	2/18/2014	76ers				3.0	MC019	Basketball	PA	cpr				phone	
CPR_CP.MC026	Adult	Philadelphia	2/18/2014	76ers				3.0	MC026	Basketball	PA	cpr				phone	
CPR_SH.ME006	Adult	Philadelphia	2/18/2014	76ers				3.0	ME006	Basketball	PA	cpr				shoe	
CPR_SH.MC029	Adult	Philadelphia	2/18/2014	76ers				3.0	MC029	Basketball	PA	cpr				shoe	
CPR_CP.ME006	Adult	Philadelphia	2/18/2014	76ers				3.0	ME006	Basketball	PA	cpr				phone	
CPR_SH.MC095	Adult	Philadelphia	2/18/2014	76ers				3.0	MC095	Basketball	PA	cpr				shoe	
CPR_SH.MC037	Adult	Philadelphia	2/18/2014	76ers				3.0	MC037	Basketball	PA	cpr				shoe	
CPR_CP.MC096	Adult	Philadelphia	2/18/2014	76ers				3.0	MC096	Basketball	PA	cpr				phone	
CPR_SH.MC009	Adult	Philadelphia	2/18/2014	76ers				3.0	MC009	Basketball	PA	cpr				shoe	
CPR_CP.MC033	Adult	Philadelphia	2/18/2014	76ers				3.0	MC033	Basketball	PA	cpr				phone	
CPR_SH.MC025	Adult	Philadelphia	2/18/2014	76ers				3.0	MC025	Basketball	PA	cpr				shoe	
CPR_SH.MC030	Adult	Philadelphia	2/18/2014	76ers				3.0	MC030	Basketball	PA	cpr				shoe	
CPR_SH.MC018	Adult	Philadelphia	2/18/2014	76ers				3.0	MC018	Basketball	PA	cpr				shoe	
CPR_CP.MC097	Adult	Philadelphia	2/18/2014	76ers				3.0	MC097	Basketball	PA	cpr				phone	
CPR_SH.MC036	Adult	Philadelphia	2/18/2014	76ers				3.0	MC036	Basketball	PA	cpr				shoe	
CPR_SH.ME004	Adult	Philadelphia	2/18/2014	76ers				3.0	ME004	Basketball	PA	cpr				shoe	
CPR_CP.ME004	Adult	Philadelphia	2/18/2014	76ers				3.0	ME004	Basketball	PA	cpr				phone	
CPR_SH.MC043	Adult	Philadelphia	2/18/2014	76ers				3.0	MC043	Basketball	PA	cpr				shoe	
CPR_SH.MC035	Adult	Philadelphia	2/18/2014	76ers				3.0	MC035	Basketball	PA	cpr				shoe	
CPR_CP.MC025	Adult	Philadelphia	2/18/2014	76ers				3.0	MC025	Basketball	PA	cpr				phone	
CPR_CP.ME005	Adult	Philadelphia	2/18/2014	76ers				3.0	ME005	Basketball	PA	cpr				phone	
CPR_SH.MC031	Adult	Philadelphia	2/18/2014	76ers				3.0	MC031	Basketball	PA	cpr				shoe	
CPR_SH.MC098	Adult	Philadelphia	2/18/2014	76ers				3.0	MC098	Basketball	PA	cpr				shoe	
CPR_CP.MC024	Adult	Philadelphia	2/18/2014	76ers				3.0	MC024	Basketball	PA	cpr				phone	
CPR_CP.MC007	Adult	Philadelphia	2/18/2014	76ers				3.0	MC007	Basketball	PA	cpr				phone	
CPR_SH.MC041	Adult	Philadelphia	2/18/2014	76ers				3.0	MC041	Basketball	PA	cpr				shoe	
CPR_CP.MC098	Adult	Philadelphia	2/18/2014	76ers				3.0	MC098	Basketball	PA	cpr				phone	
CPR_SH.MC100	Adult	Philadelphia	2/18/2014	76ers				3.0	MC100	Basketball	PA	cpr				shoe	
CPR_CP.ME009	Adult	Philadelphia	2/18/2014	76ers				3.0	ME009	Basketball	PA	cpr				phone	
CPR_CP.ME008	Adult	Philadelphia	2/18/2014	76ers				3.0	ME008	Basketball	PA	cpr				phone	
CPR_CP.MC039	Adult	Philadelphia	2/18/2014	76ers				3.0	MC039	Basketball	PA	cpr				phone	
CPR_CP.MC030	Adult	Philadelphia	2/18/2014	76ers				3.0	MC030	Basketball	PA	cpr				phone	
CPR_CP.MC062	Adult	Philadelphia	2/18/2014	76ers				3.0	MC062	Basketball	PA	cpr				phone	
CPR_CP.MC035	Adult	Philadelphia	2/18/2014	76ers				3.0	MC035	Basketball	PA	cpr				phone	
CPR_CP.MC099	Adult	Philadelphia	2/18/2014	76ers				3.0	MC099	Basketball	PA	cpr				phone	
CPR_SH.MC016	Adult	Philadelphia	2/18/2014	76ers				3.0	MC016	Basketball	PA	cpr				shoe	
CPR_SH.MC007	Adult	Philadelphia	2/18/2014	76ers				3.0	MC007	Basketball	PA	cpr				shoe	
CPR_CP.MC034	Adult	Philadelphia	2/18/2014	76ers				3.0	MC034	Basketball	PA	cpr				phone	
CPR_CP.MC095	Adult	Philadelphia	2/18/2014	76ers				3.0	MC095	Basketball	PA	cpr				phone	
CPR_CP.MC047	Adult	Philadelphia	2/18/2014	76ers				3.0	MC047	Basketball	PA	cpr				phone	
CPR_SH.MC028	Adult	Philadelphia	2/18/2014	76ers				3.0	MC028	Basketball	PA	cpr				shoe	
CPR_CP.MC093	Adult	Philadelphia	2/18/2014	76ers				3.0	MC093	Basketball	PA	cpr				phone	
CPR_SH.MC026	Adult	Philadelphia	2/18/2014	76ers				3.0	MC026	Basketball	PA	cpr				shoe	
CPR_CP.LV043	Adult	Philadelphia	2/18/2014	76ers				3.0	LV043	Basketball	PA	cpr				phone	
CPR_SH.MC024	Adult	Philadelphia	2/18/2014	76ers				3.0	MC024	Basketball	PA	cpr				shoe	
CPR_CP.MC043	Adult	Philadelphia	2/18/2014	76ers				3.0	MC043	Basketball	PA	cpr				phone	
CPR_SH.MC019	Adult	Philadelphia	2/18/2014	76ers				3.0	MC019	Basketball	PA	cpr				shoe	
CPR_SH.ME003	Adult	Philadelphia	2/18/2014	76ers				3.0	ME003	Basketball	PA	cpr				shoe	
CPR_SH.MC093	Adult	Philadelphia	2/18/2014	76ers				3.0	MC093	Basketball	PA	cpr				shoe	
CPR_SH.LV043	Adult	Philadelphia	2/18/2014	76ers				3.0	LV043	Basketball	PA	cpr				shoe	
CPR_SH.ME009	Adult	Philadelphia	2/18/2014	76ers				3.0	ME009	Basketball	PA	cpr				shoe	
CPR_SH.MC022	Adult	Philadelphia	2/18/2014	76ers				3.0	MC022	Basketball	PA	cpr				shoe	
CPR_SH.MC099	Adult	Philadelphia	2/18/2014	76ers				3.0	MC099	Basketball	PA	cpr				shoe	
CPR_SH.MC039	Adult	Philadelphia	2/18/2014	76ers				3.0	MC039	Basketball	PA	cpr				shoe	
CPR_SH.MC034	Adult	Philadelphia	2/18/2014	76ers				3.0	MC034	Basketball	PA	cpr				shoe	
CPR_SH.MC097	Adult	Philadelphia	2/18/2014	76ers				3.0	MC097	Basketball	PA	cpr				shoe	
CPR_SH.ME008	Adult	Philadelphia	2/18/2014	76ers				3.0	ME008	Basketball	PA	cpr				shoe	
CPR_SH.MC032	Adult	Philadelphia	2/18/2014	76ers				3.0	MC032	Basketball	PA	cpr				shoe	
