#SampleID	Gender	Age	Age_Range	InnieOROutie	State	touches	Stuff	Description
BBP3G12YWL1074	Female	41	36 to 74	Innie	AL	Belly Buttons	Belly Buttons	Belly Buttons
BBP4A12YWL1232	Male	28	19 to 35	Innie	Austria	Belly Buttons	Belly Buttons	Belly Buttons
BBP4H11YWL1228	Female	33	19 to 35	Innie	Austria	Belly Buttons	Belly Buttons	Belly Buttons
BBP4E4YWL1192	Female	39	36 to 74	Innie	AZ	Belly Buttons	Belly Buttons	Belly Buttons
BBP4C4YWL1120	Female	52	36 to 74	Innie	AZ	Belly Buttons	Belly Buttons	Belly Buttons
BBP1D91148	Male	26	19 to 35	Innie	CA	Belly Buttons	Belly Buttons	Belly Buttons
BBP3E12YWL1060	Female	28	19 to 35	Innie	CA	Belly Buttons	Belly Buttons	Belly Buttons
BBP4F4YWL1215	Male	30	19 to 35	Innie	CA	Belly Buttons	Belly Buttons	Belly Buttons
BBP4H7YWL1103	Female	32	19 to 35	Innie	CA	Belly Buttons	Belly Buttons	Belly Buttons
BBP2H11YWL1161	Male	32	19 to 35	Innie	CA	Belly Buttons	Belly Buttons	Belly Buttons
BBP4F11YWL1223	Female	33	19 to 35	Innie	CA	Belly Buttons	Belly Buttons	Belly Buttons
BBP4B9YWL1158	Male	38	36 to 74	Innie	CA	Belly Buttons	Belly Buttons	Belly Buttons
BBP4B8YWL1112	Female	41	36 to 74	Innie	CA	Belly Buttons	Belly Buttons	Belly Buttons
BBP4E5YWL1063	Male	46	36 to 74	Innie	CA	Belly Buttons	Belly Buttons	Belly Buttons
BBP4G9YWL1186	Female	51	36 to 74	Outie	CA	Belly Buttons	Belly Buttons	Belly Buttons
BBP3F12YWL1062	Female	43	36 to 74	Innie	CO	Belly Buttons	Belly Buttons	Belly Buttons
BBP4H4YWL1018	Male	61	36 to 74	Innie	CO	Belly Buttons	Belly Buttons	Belly Buttons
BBP4E11YWL1218	Female	15	8 to 18	Innie	CO	Belly Buttons	Belly Buttons	Belly Buttons
BBP1F41110	Female	23	19 to 35	Innie	DC	Belly Buttons	Belly Buttons	Belly Buttons
BBP4B7YWL1015	Male	26	19 to 35	Innie	FL	Belly Buttons	Belly Buttons	Belly Buttons
BBP4E10YWL1079	Female	29	19 to 35	Innie	Fl	Belly Buttons	Belly Buttons	Belly Buttons
BBP1B111162	Female	36	36 to 74	Innie	FL	Belly Buttons	Belly Buttons	Belly Buttons
BBP4F3YWL1071	Female	50	36 to 74	Innie	FL	Belly Buttons	Belly Buttons	Belly Buttons
