#SampleID	Sample	Event	Sport	Age	Date	City	State	Run	Type
CP.MC013	MC013	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	phone
SH.MC047	MC047	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	shoe
CP.MC042	MC042	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	phone
CP.ME007	ME007	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	phone
CP.MC019	MC019	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	phone
CP.MC026	MC026	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	phone
CP.MC037	MC037	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	phone
SH.ME006	ME006	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	shoe
SH.MC029	MC029	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	shoe
CP.ME006	ME006	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	phone
SH.MC095	MC095	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	shoe
SH.MC037	MC037	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	shoe
CP.MC096	MC096	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	phone
SH.MC096	MC096	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	shoe
SH.MC009	MC009	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	shoe
CP.MC033	MC033	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	phone
SH.MC025	MC025	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	shoe
SH.MC030	MC030	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	shoe
CP.MC022	MC022	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	phone
SH.MC018	MC018	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	shoe
CP.MC009	MC009	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	phone
CP.MC097	MC097	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	phone
SH.MC036	MC036	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	shoe
SH.ME004	ME004	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	shoe
CP.ME004	ME004	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	phone
SH.MC043	MC043	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	shoe
SH.MC035	MC035	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	shoe
CP.MC025	MC025	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	phone
CP.ME005	ME005	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	phone
SH.MC031	MC031	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	shoe
SH.MC098	MC098	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	shoe
CP.MC024	MC024	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	phone
CP.MC007	MC007	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	phone
SH.MC041	MC041	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	shoe
CP.MC098	MC098	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	phone
SH.MC100	MC100	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	shoe
CP.ME009	ME009	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	phone
CP.ME008	ME008	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	phone
CP.MC039	MC039	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	phone
CP.MC030	MC030	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	phone
CP.MC062	MC062	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	phone
CP.MC035	MC035	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	phone
CP.MC099	MC099	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	phone
SH.MC016	MC016	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	shoe
SH.MC007	MC007	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	shoe
CP.MC031	MC031	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	phone
CP.MC040	MC040	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	phone
CP.MC034	MC034	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	phone
CP.MC095	MC095	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	phone
CP.MC047	MC047	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	phone
SH.MC028	MC028	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	shoe
CP.MC093	MC093	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	phone
SH.MC026	MC026	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	shoe
CP.LV043	LV043	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	phone
SH.MC024	MC024	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	shoe
CP.MC043	MC043	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	phone
SH.MC019	MC019	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	shoe
SH.ME003	ME003	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	shoe
SH.MC040	MC040	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	shoe
SH.MC093	MC093	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	shoe
SH.LV043	LV043	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	shoe
SH.ME009	ME009	76ers	Basketball	Adult	2/18/2014	Philadelphia	PA	3	shoe
